ID,lake,year,count,SL,length_3,length_4,length_5,width_1,width_2,width_3,ruler_pixels,ruler_mm,sex,comments
F21001,Croche,2021,22,50.800,467.836,474.143,453.091,63.008,64.070,66.068,352.000,1.000,F,
F21002,Croche,2021,23,32.63,281.209,278.156,257.472,41.012,44.011,45.277,354.051,1.000,F,
F21003,Croche,2021,21,53.290,462.482,490.103,487.719,71.176,80.808,77.104,358.022,1.000,F,
F21004,Croche,2021,21,57.670,455.758,454.033,412.868,62.097,67.602,93.343,351.091,1.000,M,
F21005,Croche,2021,21,53.860,493.459,502.961,487.299,65.734,62.000,72.339,356.051,1.000,M,
F21006,Croche,2021,22,51.430,462.872,503.164,424.218,50.249,52.345,61.814,349.092,1.000,M,
F21007,Croche,2021,23,35.100,228.920,216.734,219.397,40.025,42.190,42.190,348.036,1.000,F,
F21008,Croche,2021,21,38.340,316.131,337.319,297.408,42.000,56.080,52.086,356.022,1.000,M,
F21009,Croche,2021,21,36.680,307.442,295.604,297.142,38.079,51.352,39.051,348.052,1.000,M,
FGH220001,Rond,2022,20,39.45,361.560,371.743,326.286,48.166,52.469,45.541,350.036,1.000,M,
FGH220002,Rond,2022,21,51.560,687.992,673.250,650.577,66.121,89.006,84.214,344.000,1.000,M,
FGH220003,Sutherland,2022,20,49.840,475.917,472.925,472.471,52.240,68.184,68.264,351.006,1.000,F,
FGH220004,Foin,2022,23,36.120,279.238,276.974,269.232,36.125,35.000,39.013,350.023,1.000,F,
FGH220005,Foin,2022,18,35.190,247.803,260.311,220.436,28.018,35.057,33.377,355.006,1.000,F,measurements from right side
FGH220006,Foin,2022,20,43.900,319.509,281.767,246.565,56.294,59.008,59.034,352.051,1.000,M,
FGH220007,Foin,2022,NA,37.300,251.361,233.816,247.868,34.713,27.459,37.855,356.022,1.000,M,measurements from right side
FGH220008,Foin,2022,21,38.910,342.711,339.107,333.040,46.390,49.366,46.390,348.023,1.000,M,
FGH220009,Foin,2022,20,37.870,272.361,250.866,219.439,44.181,47.265,46.043,361.001,1.000,M,
FGH220010,Foin,2022,22,36.280,240.294,208.441,167.765,52.631,61.131,56.009,348.006,1.000,F,
SGH220001,Foin,2022,20,45.530,396.524,359.446,325.257,65.460,70.178,74.061,347.023,1.000,F,
SGH220002,Foin,2022,19,56.060,372.046,356.967,344.622,64.938,69.000,67.030,346.092,1.000,F,
SGH220003,Foin,2022,21,49.330,339.207,342.522,321.678,60.440,55.543,57.070,352.006,1.000,M,
SGH220004,Foin,2022,21,51.860,304.272,334.183,269.782,64.777,68.066,62.650,352.000,1.000,M,
SGH220005,Foin,2022,19,46.460,346.613,308.846,287.909,59.304,72.691,63.127,354.051,1.000,F,
SGH220006,Foin,2022,20,51.320,310.131,299.581,322.636,78.026,69.181,60.133,346.023,1.000,F,
SGH220007,Foin,2022,21,45.350,395.570,425.995,368.614,73.437,52.000,62.073,340.000,1.000,M,
SGH220008,Foin,2022,21,46.700,377.868,367.049,386.199,57.009,67.000,59.000,358.006,1.000,F,
SGH220009,Foin,2022,20,49.780,340.624,311.005,349.776,64.070,70.029,58.000,352.006,1.000,F,
SGH220010,Foin,2022,21,44.660,341.638,328.153,314.741,63.071,74.007,54.009,356.006,1.000,F,
SGH220011,Croche,2022,24,34.87,325.163,307.227,299.954,32.140,42.297,43.000,356.006,1.000,F,
SGH220012,Croche,2022,22,42.89,376.996,343.905,337.602,38.013,46.098,50.000,364.000,1.000,M,
SGH220013,Croche,2022,21,49.570,392.577,402.778,398.092,68.118,63.032,68.007,350.091,1.000,M,
SGH220014,Croche,2022,22,45.310,323.241,327.565,309.690,43.966,76.485,72.250,354.141,1.000,F,
SGH220015,Croche,2022,22,34.420,306.306,301.708,280.447,32.000,50.010,49.010,354.006,1.000,M,
SGH220016,Croche,2022,24,46.730,325.631,338.616,328.684,43.012,54.009,63.000,356.051,1.000,F,
SGH220017,Croche,2022,25,52.380,429.368,438.326,427.154,58.052,57.559,53.235,340.000,1.000,F,
SGH220018,Croche,2022,22,40.650,303.354,297.002,302.892,44.102,62.201,62.008,356.000,1.000,M,
SGH220019,Croche,2022,22,54.290,425.854,434.967,440.288,57.706,69.462,71.028,356.022,1.000,F,
SGH220020,Croche,2022,20,34.360,261.319,263.727,226.575,50.359,46.098,48.374,356.006,1.000,F,
SGH220021,Croche,2022,22,55.470,405.717,406.216,376.989,53.038,55.444,58.310,356.006,1.000,F,
SGH220022,Croche,2022,22,49.220,339.509,353.041,352.170,78.000,75.425,73.553,358.022,1.000,F,
SGH220023,Croche,2022,22,38.440,327.195,320.649,312.197,36.497,39.013,43.000,352.001,1.000,F,
SGH220024,Croche,2022,20,55.84,422.602,399.668,450.550,64.133,69.181,75.000,350.006,1.000,F,
SGH220025,Croche,2022,22,46.16,328.488,299.093,300.968,50.249,47.011,50.090,355.006,1.000,M,
SGH220026,Croche,2022,23,39.70,260.911,248.905,242.574,38.000,31.064,33.136,351.006,1.000,F,
SGH220027,Croche,2022,22,36.65,,,,,,,,,F,
SGH220028,Croche,2022,23,42.20,299.851,313.568,303.123,47.096,45.000,50.040,352.013,1.000,M,
SGH220029,Croche,2022,22,46.650,437.767,420.245,420.044,51.010,53.000,54.148,350.051,1.000,M,
SGH220030,Croche,2022,22,38.470,370.776,381.232,326.255,51.010,58.549,56.009,354.006,1.000,M,
SGH220031,Croche,2022,23,38.64,260.400,212.135,228.406,38.079,47.668,38.707,348.006,1.000,M,
SGH220032,Croche,2022,22,37.23,282.270,293.332,287.755,49.497,43.046,46.011,354.000,1.000,M,
SGH220033,Croche,2022,NA,38.410,275.234,277.672,250.658,61.400,70.349,66.030,352.006,1.000,F,
SGH220034,Croche,2022,22,38.250,311.434,288.210,265.732,45.100,41.110,41.110,353.013,1.000,F,
SGH220035,Croche,2022,22,36.16,279.379,263.159,274.920,38.013,36.139,36.056,354.000,1.000,M,
SGH220036,Croche,2022,23,38.53,287.518,299.929,286.946,42.953,45.706,46.573,350.036,1.000,M,
SGH220037,Croche,2022,21,58.57,448.211,460.528,417.152,73.348,77.414,74.243,354.141,1.000,M,
SGH220038,Croche,2022,21,49.270,404.946,379.826,366.985,59.414,52.240,60.415,358.006,1.000,M,
SGH220039,Croche,2022,21,39.700,288.269,289.641,267.524,49.041,46.000,49.163,352.023,1.000,M,
SGH220040,Croche,2022,20,59.430,300.029,347.237,349.198,83.024,94.340,109.041,352.006,1.000,F,
SGH220041,Croche,2022,22,38.76,323.780,311.557,290.712,35.355,50.000,50.090,346.052,1.000,U,
SGH220042,Croche,2022,21,37.32,299.487,295.817,292.398,49.254,43.000,51.000,358.022,1.000,M,
SGH220043,Croche,2022,19,55.38,416.021,342.272,337.747,76.322,71.063,71.000,350.006,1.000,F,
SGH220044,Croche,2022,22,53.41,329.366,320.256,305.877,76.059,83.000,80.025,354.000,1.000,F,
SGH220045,Croche,2022,23,46.020,365.060,330.514,356.644,62.073,58.009,66.068,350.006,1.000,M,
SGH220046,Croche,2022,22,44.57,375.352,375.371,367.580,47.854,53.935,44.553,354.141,1.000,M,
SGH220047,Croche,2022,20,41.760,287.300,315.641,295.729,34.366,38.210,41.000,356.022,1.000,M,
SGH220048,Croche,2022,22,45.340,373.983,351.463,338.894,51.010,53.009,53.085,350.006,1.000,M,
SGH220049,Croche,2022,21,38.20,297.126,297.308,278.107,39.013,40.522,47.297,358.050,1.000,M,
SGH220050,Croche,2022,21,39.52,296.709,271.605,262.445,42.379,41.049,39.000,356.000,1.000,M,
SGH220051,Croche,2022,22,44.690,337.483,318.403,291.028,53.759,56.569,68.118,354.006,1.000,F,
SGH220052,Sutherland,2022,20,49.32,546.421,590.501,595.604,56.921,55.326,61.400,354.006,1.000,M,
SGH220053,Sutherland,2022,20,53.830,507.485,496.164,503.545,68.029,66.030,74.027,356.022,1.000,M,
SGH220054,Rond,2022,20,43.14,537.255,556.260,531.658,66.753,74.007,70.000,356.006,1.000,F,
SGH220055,Rond,2022,23,55.08,765.761,642.428,610.969,60.075,62.008,69.116,348.207,1.000,M,
SGH220056,Rond,2022,22,NA,528.985,469.347,485.121,52.393,68.066,69.635,348.052,1.000,U,
SGH220057,Rond,2022,21,38.160,384.059,362.435,416.445,38.897,46.098,43.417,359.006,1.000,F,
SGH220058,Rond,2022,20,50.440,503.277,484.828,428.001,56.719,56.009,65.031,354.006,1.000,F,
SGH220059,Rond,2022,22,39.92,426.702,432.375,412.477,42.107,50.040,49.010,358.140,1.000,F,
SGH220060,Rond,2022,21,38.10,360.723,376.176,342.233,50.040,52.154,48.836,358.022,1.000,M,
SGH220061,Temiscouata,2022,22,36.60,291.522,253.583,224.240,44.181,43.105,47.170,352.006,1.000,F,
SGH220062,Temiscouata,2022,NA,46.15,404.811,422.506,410.411,53.451,55.000,51.000,354.051,1.000,M,
SGH220063,Temiscouata,2022,22,57.07,531.136,462.110,448.202,56.143,51.039,63.388,354.000,1.000,M,
SGH220064,Temiscouata,2022,21,54.63,463.800,438.982,453.820,58.000,61.131,69.116,352.023,1.000,M,
SGH220065,Temiscouata,2022,20,59.40,537.948,534.781,498.528,71.344,77.058,81.006,354.023,1.000,M,
SGH220066,Temiscouata,2022,20,53.57,416.658,463.338,435.111,55.326,56.009,59.076,354.000,1.000,F,
SGH220067,Temiscouata,2022,20,48.29,489.500,486.123,472.632,52.000,59.000,57.070,354.023,1.000,M,
SGH230001,Foin,2023,20,53.48,494.537,459.585,451.120,61.522,61.205,68.029,350.023,1.000,M,
SGH230002,Croche,2023,22,58.72,477.047,505.171,410.042,68.007,87.023,76.000,354.006,1.000,F,
SGH230003,Croche,2023,21,49.01,475.415,469.085,459.440,76.158,76.942,76.236,360.089,1.000,M,
SGH230004,Croche,2023,21,53.07,444.029,434.282,430.275,62.362,66.098,62.000,336.000,1.000,F,
SGH230005,Croche,2023,22,49.09,395.594,377.767,346.349,70.114,66.068,113.283,352.204,1.000,M,
SGH230006,Croche,2023,22,54.53,448.068,447.884,431.996,69.354,67.268,77.104,356.090,1.000,F,
SGH230007,Croche,2023,20,58.46,405.113,398.468,361.139,67.007,67.119,72.028,350.143,1.000,F,
SGH230008,Croche,2022,24,52.39,352.995,411.281,388.887,50.040,54.009,60.000,352.051,1.000,F,
SGH230009,Croche,2022,20,51.84,394.284,393.740,421.958,62.129,76.007,80.399,352.051,1.000,F,
SGH230010,Croche,2023,22,56.13,467.748,493.623,481.891,50.040,55.009,59.211,354.023,1.000,M,
SGH230011,Croche,2023,20,56.67,389.619,402.069,359.592,59.540,75.060,72.173,352.000,1.000,F,
SGH230012,Croche,2023,19,52.02,447.367,523.165,504.739,60.166,64.498,68.264,356.006,1.000,M,
SGH230013,Croche,2023,21,49.86,386.284,365.398,349.659,53.085,58.549,59.211,358.022,1.000,F,
SGH230014,Croche,2023,22,52.49,408.819,391.983,389.376,49.163,53.085,60.000,350.006,1.000,M,
SGH230015,Croche,2023,22,55.39,416.735,423.478,443.992,49.649,49.041,69.065,352.006,1.000,F,
SGH230016,Croche,2023,20,49.57,500.916,492.138,491.607,52.612,44.102,48.042,356.022,1.000,M,
SGH230017,Croche,2023,23,54.74,386.385,362.842,377.006,54.000,62.036,60.033,354.051,1.000,M,
SGH230018,Croche,2023,22,53.54,428.114,379.902,402.062,68.469,97.185,77.233,356.022,1.000,F,
SGH230019,Croche,2023,22,49.28,445.458,485.312,445.736,44.045,54.589,62.290,352.006,1.000,M,measurements from right side
SGH230020,Croche,2023,20,52.73,455.683,433.301,436.676,56.000,68.118,63.285,350.023,1.000,M,
SGH230021,Croche,2023,23,52.40,407.768,398.519,404.225,47.676,71.028,64.031,354.000,1.000,M,
SGH230022,Croche,2023,21,50.78,405.228,385.808,388.739,60.407,82.389,67.007,354.203,1.000,M,